                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1802,                 4.9574,                 1.4254,                  0.002,                0.27143,                0.14636,                0.06634,                 1.6702,                 4.2506,                 1.1614,                 0.0706,              0.0032667,              0.0032667
                      2,                 1.8868,                 3.0395,                  1.327,                0.83711,                0.04643,                0.23491,                0.09371,                 1.9838,                 3.3548,                 1.2916,               0.040567,              0.0065673,              0.0065673
                      3,                 1.8377,                 2.6532,                  1.337,                0.71649,                0.46403,                0.51046,                0.22131,                 1.8964,                 2.8481,                 1.3154,               0.010502,               0.009835,               0.009835
                      4,                 1.8946,                 2.4876,                 1.3241,                0.53217,                0.39981,                0.39519,                0.15029,                 2.1404,                 2.4359,                   1.44,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8447,                 2.1772,                 1.2849,                0.52022,                 0.4405,                0.41932,                0.14253,                 2.2721,                 2.3343,                 1.5714,               0.009802,               0.009802,               0.009802
                      6,                 1.8147,                 2.0103,                 1.2999,                0.65263,                0.54058,                 0.5674,                0.20025,                 2.1687,                 2.2356,                 1.4929,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.7984,                 1.8863,                  1.309,                0.81856,                 0.5509,                0.66505,                0.30036,                 1.8402,                 1.6616,                 1.2857,               0.009703,               0.009703,               0.009703
                      8,                 1.8167,                 1.7218,                  1.328,                0.76534,                0.53472,                0.62098,                0.25267,                 2.0096,                 1.7841,                 1.3456,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.7591,                 1.6997,                 1.2699,                0.71856,                0.60431,                0.65233,                0.28661,                 1.9036,                 1.5286,                 1.3134,               0.009604,               0.009604,               0.009604
                     10,                 1.7704,                 1.5657,                 1.2725,                0.70891,                0.65084,                0.69469,                0.30476,                 1.9704,                 1.3966,                 1.3426,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.7285,                 1.5219,                 1.2673,                0.71226,                0.65468,                0.72761,                0.32507,                 1.9075,                 1.4319,                 1.3273,               0.009505,               0.009505,               0.009505
