                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.4037,                0.82078,                 1.0819,                0.83039,                0.77905,                0.82007,                0.38868,                 1.7974,                0.97596,                 1.2454,                0.00307,                0.00307,                0.00307
                     37,                 1.3783,                0.81877,                 1.0633,                0.82911,                0.78201,                0.82927,                0.38597,                  1.826,                0.96772,                 1.2676,               0.002872,               0.002872,               0.002872
                     38,                 1.3728,                 0.7871,                 1.0692,                0.89942,                0.73009,                0.81553,                 0.4014,                 1.7783,                0.98761,                 1.2312,               0.002674,               0.002674,               0.002674
                     39,                 1.3409,                0.77544,                 1.0609,                0.86511,                0.74273,                0.79851,                0.37843,                 1.8366,                 1.0181,                 1.2696,               0.002476,               0.002476,               0.002476
                     40,                 1.3752,                0.79413,                 1.0641,                0.89019,                0.74153,                0.83098,                 0.3953,                 1.7778,                0.95082,                 1.2378,               0.002278,               0.002278,               0.002278
                     41,                 1.3287,                 0.7117,                 1.0946,                0.86528,                0.78375,                0.83481,                0.41685,                 1.7533,                0.92868,                 1.2408,                0.00208,                0.00208,                0.00208
                     42,                 1.2861,                0.69355,                 1.0842,                0.88618,                0.72753,                0.81546,                0.39139,                 1.8053,                0.97521,                 1.2438,               0.001882,               0.001882,               0.001882
                     43,                 1.2808,                0.68278,                 1.0796,                0.82347,                0.76878,                0.81173,                 0.3976,                 1.7946,                0.95146,                 1.2387,               0.001684,               0.001684,               0.001684
                     44,                 1.2429,                0.65257,                 1.0602,                0.86949,                 0.7627,                0.82968,                0.40305,                 1.7848,                0.92702,                 1.2404,               0.001486,               0.001486,               0.001486
                     45,                 1.2525,                0.67709,                 1.0681,                0.86074,                0.75495,                0.82092,                0.40019,                 1.7935,                0.92816,                  1.256,               0.001288,               0.001288,               0.001288
                     46,                 1.2338,                0.64711,                 1.0676,                0.82533,                0.75998,                 0.8088,                0.37703,                 1.8479,                0.97235,                 1.2756,                0.00109,                0.00109,                0.00109
                     47,                 1.1815,                0.62396,                 1.0318,                0.81623,                0.75691,                0.80349,                0.39677,                 1.7785,                0.94436,                 1.2467,               0.000892,               0.000892,               0.000892
                     48,                 1.1917,                0.62164,                 1.0467,                0.82522,                 0.7687,                0.81348,                0.40987,                  1.749,                0.93227,                 1.2363,               0.000694,               0.000694,               0.000694
                     49,                 1.1993,                0.63591,                 1.0311,                0.83848,                0.75173,                 0.8083,                0.40565,                  1.774,                0.94081,                 1.2424,               0.000496,               0.000496,               0.000496
                     50,                 1.1599,                0.61201,                 1.0309,                0.83884,                 0.7556,                0.80656,                0.40157,                 1.7887,                0.93808,                 1.2491,               0.000298,               0.000298,               0.000298
