                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4862,                0.92561,                 1.1404,                0.90427,                0.73292,                0.81984,                0.37833,                 1.8241,                 0.9941,                 1.2781,               0.006634,               0.006634,               0.006634
                     36,                 1.4459,                0.91468,                  1.124,                0.88742,                0.69983,                0.79735,                0.38958,                 1.7793,                0.96922,                 1.2602,               0.006535,               0.006535,               0.006535
                     37,                 1.4944,                0.90723,                 1.1513,                0.90558,                 0.7121,                0.80534,                0.38321,                 1.7655,                 1.0162,                 1.2355,               0.006436,               0.006436,               0.006436
                     38,                 1.4975,                0.88573,                 1.1631,                0.88789,                0.74906,                0.82973,                 0.4114,                 1.7642,                0.94673,                 1.2248,               0.006337,               0.006337,               0.006337
                     39,                 1.4572,                0.87279,                 1.1315,                0.90022,                  0.737,                0.82904,                 0.3898,                 1.8225,                0.95813,                 1.2618,               0.006238,               0.006238,               0.006238
                     40,                 1.4556,                0.85124,                 1.1373,                0.85907,                0.69935,                0.76218,                0.32682,                 2.0399,                 1.0481,                 1.3732,               0.006139,               0.006139,               0.006139
                     41,                 1.4416,                0.85995,                 1.1142,                 0.8321,                0.73581,                0.79549,                0.38083,                  1.809,                 1.0226,                 1.2591,                0.00604,                0.00604,                0.00604
                     42,                 1.3915,                0.82955,                 1.1062,                0.88425,                0.72004,                0.80185,                0.36025,                 1.9108,                 1.0243,                  1.324,               0.005941,               0.005941,               0.005941
                     43,                 1.4194,                0.83626,                 1.1023,                0.81724,                0.72301,                0.77186,                0.36995,                 1.8216,                 1.0459,                 1.2928,               0.005842,               0.005842,               0.005842
                     44,                  1.415,                0.83908,                 1.1241,                0.83856,                0.74659,                0.78448,                  0.343,                  1.928,                 1.0405,                 1.3261,               0.005743,               0.005743,               0.005743
                     45,                 1.4203,                0.83695,                 1.0954,                0.89838,                0.72892,                0.83436,                0.41222,                 1.7001,                  0.955,                 1.2173,               0.005644,               0.005644,               0.005644
                     46,                 1.3949,                0.80459,                  1.094,                0.90131,                0.76429,                0.82046,                0.38761,                 1.7488,                0.95389,                 1.2399,               0.005545,               0.005545,               0.005545
                     47,                  1.375,                0.78493,                 1.0896,                 0.8866,                0.73521,                0.80954,                0.37637,                 1.8252,                0.97459,                 1.2819,               0.005446,               0.005446,               0.005446
                     48,                  1.363,                0.79066,                 1.0856,                0.85964,                 0.7123,                0.79551,                0.37982,                 1.8382,                0.97848,                 1.2837,               0.005347,               0.005347,               0.005347
                     49,                 1.3744,                0.79954,                 1.0931,                0.88606,                0.73535,                0.81278,                0.38385,                 1.8302,                0.96579,                  1.277,               0.005248,               0.005248,               0.005248
                     50,                 1.3334,                0.76861,                  1.065,                0.87661,                0.72923,                0.80593,                0.35277,                 1.9708,                 1.0151,                 1.3422,               0.005149,               0.005149,               0.005149
                     51,                 1.3313,                0.77182,                  1.073,                0.87919,                0.75512,                0.80771,                0.36464,                 1.9015,                0.98658,                 1.3145,                0.00505,                0.00505,                0.00505
                     52,                 1.3587,                0.76404,                 1.0901,                0.86316,                0.74351,                0.80009,                 0.3653,                 1.8924,                0.98804,                 1.3258,               0.004951,               0.004951,               0.004951
                     53,                 1.3407,                0.76637,                 1.0786,                0.84375,                0.75083,                0.78638,                0.34678,                 1.9212,                0.98846,                 1.3332,               0.004852,               0.004852,               0.004852
                     54,                 1.3079,                0.76955,                 1.0671,                0.83598,                0.77332,                0.80503,                 0.3848,                 1.8013,                0.97615,                 1.2672,               0.004753,               0.004753,               0.004753
                     55,                 1.2971,                0.75697,                 1.0638,                0.89756,                0.76203,                0.82483,                0.41484,                   1.73,                0.93745,                 1.2398,               0.004654,               0.004654,               0.004654
                     56,                 1.2861,                0.72989,                 1.0618,                0.88696,                0.70705,                0.80874,                0.39584,                 1.7423,                0.95855,                 1.2539,               0.004555,               0.004555,               0.004555
                     57,                 1.2913,                 0.7282,                  1.058,                0.84123,                0.70872,                0.78004,                0.35715,                 1.9056,                  1.004,                 1.3325,               0.004456,               0.004456,               0.004456
                     58,                 1.2781,                0.72919,                  1.053,                0.84653,                0.77009,                0.82257,                0.39893,                 1.8132,                 0.9424,                 1.2906,               0.004357,               0.004357,               0.004357
                     59,                 1.2834,                0.71031,                 1.0654,                0.83429,                0.74499,                0.80146,                0.37761,                 1.8691,                 0.9708,                 1.3188,               0.004258,               0.004258,               0.004258
                     60,                 1.2939,                0.72755,                 1.0465,                0.84552,                0.79594,                  0.825,                0.37284,                 1.8818,                0.95071,                 1.3125,               0.004159,               0.004159,               0.004159
                     61,                 1.2547,                0.71268,                 1.0356,                0.85752,                0.75384,                0.81025,                0.35573,                 1.9604,                0.97114,                 1.3517,                0.00406,                0.00406,                0.00406
                     62,                 1.2388,                 0.6931,                 1.0386,                0.85013,                0.76441,                0.80849,                0.34985,                 1.9653,                0.98773,                  1.367,               0.003961,               0.003961,               0.003961
                     63,                 1.2473,                0.69503,                 1.0423,                0.86606,                0.75138,                 0.8043,                0.36474,                 1.9375,                 0.9795,                 1.3294,               0.003862,               0.003862,               0.003862
                     64,                 1.2427,                0.67956,                 1.0221,                0.85395,                0.76466,                 0.8051,                0.41002,                 1.7738,                0.92319,                 1.2721,               0.003763,               0.003763,               0.003763
                     65,                 1.2343,                0.67317,                 1.0171,                0.86891,                0.75766,                0.81438,                0.40735,                 1.7657,                0.96413,                  1.258,               0.003664,               0.003664,               0.003664
                     66,                 1.2134,                0.69456,                 1.0173,                0.89071,                0.74278,                0.82153,                0.40874,                 1.7424,                0.94074,                 1.2633,               0.003565,               0.003565,               0.003565
                     67,                 1.1942,                0.65568,                 1.0286,                0.90904,                0.75053,                0.84061,                 0.4062,                 1.7973,                0.91695,                 1.2837,               0.003466,               0.003466,               0.003466
                     68,                 1.1687,                0.65053,                 1.0118,                0.83983,                0.76911,                 0.8181,                0.38596,                 1.8564,                0.94706,                 1.3174,               0.003367,               0.003367,               0.003367
                     69,                 1.1846,                0.66556,                 1.0141,                0.87733,                0.71809,                0.82006,                0.38876,                  1.865,                0.96879,                 1.3337,               0.003268,               0.003268,               0.003268
                     70,                 1.1612,                0.67397,                  1.022,                0.93505,                0.71645,                0.82484,                0.39049,                 1.8178,                0.92197,                 1.3034,               0.003169,               0.003169,               0.003169
                     71,                 1.1582,                0.64474,                 1.0215,                0.87164,                0.74798,                0.82642,                0.40331,                  1.802,                0.93448,                 1.2849,                0.00307,                0.00307,                0.00307
                     72,                 1.1602,                0.65828,                0.99952,                0.86257,                0.77686,                0.82836,                0.40824,                 1.7937,                0.93009,                 1.2922,               0.002971,               0.002971,               0.002971
                     73,                 1.1597,                0.64065,                 1.0093,                0.90108,                0.75915,                0.81696,                0.37347,                  1.875,                0.92094,                 1.3267,               0.002872,               0.002872,               0.002872
                     74,                 1.1397,                0.61946,                 1.0056,                0.89692,                0.78017,                0.83897,                0.41134,                 1.7648,                0.85431,                  1.286,               0.002773,               0.002773,               0.002773
                     75,                 1.1358,                0.63023,                0.99973,                0.88826,                 0.7323,                0.81548,                0.39578,                 1.8529,                0.90436,                 1.3345,               0.002674,               0.002674,               0.002674
                     76,                 1.1293,                0.61996,                 1.0117,                0.93048,                0.74116,                0.84202,                0.41498,                 1.7668,                0.90573,                 1.2817,               0.002575,               0.002575,               0.002575
                     77,                 1.1326,                0.63135,                0.99557,                0.87864,                0.78064,                  0.833,                0.39213,                 1.8199,                0.88139,                 1.3099,               0.002476,               0.002476,               0.002476
                     78,                 1.0967,                0.60382,                0.98013,                0.92073,                0.73491,                0.82381,                0.40561,                 1.8248,                0.88248,                 1.3154,               0.002377,               0.002377,               0.002377
